CNTR_CODE,NUTS_ID,LEVL_CODE,NAME_LATN,mean,min,max,std
EL,EL3,1,Attiki,245.95484295808134,-10.017843246459961,1405.4632568359375,239.89762598902712
EL,EL4,1,"Nisia Aigaiou, Kriti",318.3351752951694,-3.8087501525878906,2450.219482421875,356.84014698679795
EL,EL5,1,Voreia Elláda,519.5435724239027,-4.261274337768555,2626.87353515625,456.0487567774575
EL,EL6,1,Kentriki Elláda,493.9845630064533,-5.5,2897.7666015625,437.2143990431399
EL,EL,0,Elláda,473.29329084896034,-10.017843246459961,2897.7666015625,437.06238303080795
EL,EL30,2,Attiki,245.95484295808134,-10.017843246459961,1405.4632568359375,239.89762598902712
EL,EL41,2,Voreio Aigaio,207.30813893671612,-2.4867444038391113,1429.0758056640625,220.6167246901761
EL,EL42,2,Notio Aigaio,155.03146361958608,-3.8087501525878906,1213.3463134765625,176.03347490871514
EL,EL43,2,Kriti,469.08432439345444,-2.6348817348480225,2450.219482421875,421.45600043302005
EL,EL51,2,"Anatoliki Makedonia, Thraki",377.00396983889755,-3.2742812633514404,2222.650146484375,377.5774193185057
EL,EL52,2,Kentriki Makedonia,348.2579489202708,-3.530881404876709,2626.87353515625,394.66877736486106
EL,EL53,2,Dytiki Makedonia,905.6718815189782,141.0,2515.239990234375,338.5885324493791
EL,EL54,2,Ipeiros,689.4686299574271,-4.261274337768555,2620.377197265625,487.52312457544633
EL,EL61,2,Thessalia,501.1593756945358,-3.050912857055664,2897.7666015625,473.13539650981403
EL,EL62,2,Ionia Nisia,247.38617900593172,-2.0,1619.2236328125,271.58670651202254
EL,EL63,2,Dytiki Elláda,450.2153042405451,-3.9101240634918213,2332.97998046875,425.5747470371416
EL,EL64,2,Sterea Elláda,503.0109529039958,-2.588041067123413,2500.26416015625,452.18472284241466
EL,EL65,2,Peloponnisos,541.2089373985233,-5.5,2397.603271484375,398.28313975455586
EL,EL301,3,Voreios Tomeas Athinon,279.05223176688565,114.67964935302734,812.4422607421875,118.57654721587905
EL,EL302,3,Dytikos Tomeas Athinon,131.99945791793348,-8.3928804397583,461.8605041503906,89.26879705820198
